Date,Label,Speaker,Political Party,Subject,Photo
2014-07-27,Mostly True,Lindsey Graham,Republican,Economy;Foreign Policy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Lindsey_Graham.jpg
2014-07-27,Half True,Ruth Marcus,Journalist,Marijuana,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/abc_ruth_marcus_this_week_jt_130217_wblog.jpg
2014-06-07,False,Dan Patrick,Republican,Corrections and Updates;Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/ColorPatrick80-01-08pft.jpg
2014-07-15,False,Glenn Grothman,Republican,Campaign Finance;Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Glenn_Grothman.jpg
2014-07-15,False,Kenneth Block,Republican,City Government;Debates;Environment;Government Efficiency,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/KenBlock.JPG
2014-07-18,False,John  Kitzhaber,Democrat,Economy;Trade,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/kitzhaber41.jpg
2014-07-23,Half True,Charlie Crist,Democrat,Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/crist.JPG
2014-07-22,Mostly True, Patriot Majority USA,Democrat,State Budget;State Finances;Taxes;Welfare,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Screen_Shot_2014-02-13_at_3.59.02_PM.png
2014-07-17,Half True,Glenn Beck,None,Children;Crime;Criminal Justice;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Glenn.png
2014-07-11,False,Richard Saslaw,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Saslaw2.jpg
2014-07-19,False,Joe  Leibham,Republican,Children;Education;Federal Budget;States,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Leibham_Joe.jpg
2014-07-20,Mostly True, Ending Spending Action Fund,Independent,Job Accomplishments,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/PolitiFact_silhouette_15.jpg
2014-07-24,False,Deirdre Imus,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Deirdre_Imus_1.jpg
2014-07-22,Mostly True,Rula Jebreal,None,Foreign Policy;Israel;Water,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/952865f90f6805b726bdc7675563b28f.jpg
2014-07-22,Half True,Rula Jebreal,None,Foreign Policy;Israel,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/952865f90f6805b726bdc7675563b28f.jpg
2014-07-22,Mostly False, Republican Party of Florida,Republican,Education,https://s3.amazonaws.com/static.politifact.com/mugs/mug-rnc___.jpg
2014-07-22,Mostly True,Debbie Wasserman Schultz,Democrat,Health Care,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/27560_6444958138_7609_n.jpg
2014-07-22,Mostly False,Debbie Wasserman Schultz,Democrat,Health Care;Supreme Court,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/27560_6444958138_7609_n.jpg
2014-06-16,False,Jon Richards,Democrat,Criminal Justice;Job Accomplishments;State Budget;State Finances,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jon_Richards.jpg
2014-07-12,Half True,Angel Taveras,Democrat,Crime;History;Public Safety,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Taveras-091214.jpg
2014-07-21,False, Club for Growth,None,Energy;Taxes,https://s3.amazonaws.com/static.politifact.com/mugs/mug-club4growth.jpg
2014-07-18,Mostly True,Dennis Richardson,Republican,Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Dennis_Richardson.jpg
2014-07-17,Pants on Fire,Rick Perry,Republican,Crime;Criminal Justice;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Rick_Perry_1.jpg
2014-07-17,Mostly True,Barack Obama,Democrat,Economy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/NYT_OBAMA_1.jpg
2014-07-21,Mostly False,Lou Dobbs,None,Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/Dobbs.jpg
2014-07-11,Mostly True,Nan Rich,Democrat,Economy;Retirement;Tourism,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/nanrich.JPG
2014-07-17,Mostly False,Mitch McConnell,Republican,Health Care;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/mcconnell.jpg
2014-07-17,Half True,Pat Buchanan,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Pat-Buchanan-1.jpg
2014-06-07,Half True,Ismael Ozanne,Democrat,County Government;Crime;Criminal Justice;Government Efficiency;Job Accomplishments,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Ismael_Ozanne.JPG
2014-07-15,Mostly True, Fresh Start PA,Democrat,Economy;Jobs;States,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Fresh_Start_PA.jpg
2014-07-11,Mostly True,Nan Rich,Democrat,Poverty;Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/nanrich.JPG
